,Name,Team,Minutes Played,PER
567,Jeff Teague,MIN,945,16.0
568,Jeff Teague,ATL,519,12.2
569,Garrett Temple,BRK,1547,10.3
570,Daniel Theis,BOS,1382,18.2
571,Isaiah Thomas,WAS,925,11.6
572,Khyri Thomas,DET,61,3.2
573,Matt Thomas,TOR,321,13.6
574,Tristan Thompson,CLE,1721,16.8
575,Matisse Thybulle,PHI,1110,9.8
576,Anthony Tolliver,TOT,732,6.6
577,Anthony Tolliver,POR,554,7.6
578,Anthony Tolliver,SAC,82,0.3
579,Anthony Tolliver,MEM,96,6.8
580,,,,
581,Juan Toscano-Anderson,GSW,272,9.4
582,Karl-Anthony Towns,MIN,1187,26.5
583,Gary Trent Jr.,POR,1059,11.8
584,Allonzo Trier,NYK,291,14.5
585,P.J. Tucker,HOU,2203,8.7
586,Rayjon Tucker,UTA,78,4.5
587,Evan Turner,ATL,251,6.8
588,Myles Turner,IND,1628,14.7
589,Jarrod Uthoff,MEM,14,-0.1
590,Jonas Valančiūnas,MEM,1630,22.3
591,Denzel Valentine,CHI,488,13.0
592,Jarred Vanderbilt,TOT,46,7.6
593,Jarred Vanderbilt,DEN,41,7.2
594,Jarred Vanderbilt,MIN,5,11.1
595,Fred VanVleet,TOR,1719,16.0
596,Gabe Vincent,MIA,42,1.2
597,Noah Vonleh,TOT,364,15.6
598,Noah Vonleh,MIN,347,15.3
599,Noah Vonleh,DEN,17,22.0
600,Nikola Vučević,ORL,1763,21.6
601,Dean Wade,CLE,71,13.9
602,Moritz Wagner,WAS,707,16.6
603,Dion Waiters,MIA,42,13.5
604,Kemba Walker,BOS,1592,20.2
605,,,,
606,Lonnie Walker,SAS,767,11.0
607,Tyrone Wallace,ATL,160,3.9
608,Taurean Prince,BRK,1857,9.2
609,Derrick Walton,TOT,248,8.7
610,Derrick Walton,LAC,222,8.4
611,Derrick Walton,DET,26,11.3
612,Brad Wanamaker,BOS,1215,11.8
613,T.J. Warren,IND,1984,17.2
614,P.J. Washington,CHO,1759,12.4
615,Yuta Watanabe,MEM,99,9.5
616,Tremont Waters,BOS,89,6.5
617,Paul Watson,TOT,25,-0.5
618,Paul Watson,ATL,17,-7.1
619,Paul Watson,TOR,8,13.6
620,Quinndary Weatherspoon,SAS,15,-5.1
621,Russell Westbrook,HOU,1905,21.5
622,Coby White,CHI,1674,11.9
623,Derrick White,SAS,1468,15.9
624,Hassan Whiteside,POR,1911,25.0
625,Andrew Wiggins,TOT,1858,16.4
626,Andrew Wiggins,MIN,1455,16.1
